PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34314637","Telehealth for Supporting Referrals to Specialized Care During COVID-19","Sperling S, Andretta CRL, Basso J, Batista CEA, Borysow IDC, Cabral FC, de Castro Filho ED, Costa LAV, Gehres LG, Kim KY, Maeyama MA, Mallmann ÉB, Morbeck RA, Oblonczyk MM, Pachito DV, Rodrigues ÁS, de Souza CF, Toth CPP, Gadenz SD.","Telemed J E Health. 2022 Apr;28(4):544-550. doi: 10.1089/tmj.2021.0208. Epub 2021 Jul 26.","Sperling S","Telemed J E Health","2022","2021/07/27","","","10.1089/tmj.2021.0208"
"41740218","[Brazil's Unified Health System: history and challenges]","Minho Conill E, Giovanella L.","Gac Sanit. 2026 Feb 24;40 Suppl 2:102573. doi: 10.1016/j.gaceta.2026.102573. Online ahead of print.","Minho Conill E","Gac Sanit","2026","2026/02/25","","","10.1016/j.gaceta.2026.102573"
"37865034","Accessibility to manage the obstructive sleep apnea within the Brazilian Unified Health System","Silva DICD, Corrêa CC, Barros JL, Marão AC, Weber SAT.","Braz J Otorhinolaryngol. 2024 Jan-Feb;90(1):101338. doi: 10.1016/j.bjorl.2023.101338. Epub 2023 Oct 12.","Silva DICD","Braz J Otorhinolaryngol","2024","2023/10/21","PMC10594551","","10.1016/j.bjorl.2023.101338"
"33070689","A telemedicine strategy to reduce waiting lists and time to specialist care: A retrospective cohort study","Pfeil JN, Rados DV, Roman R, Katz N, Nunes LN, Vigo Á, Harzheim E.","J Telemed Telecare. 2023 Jan;29(1):10-17. doi: 10.1177/1357633X20963935. Epub 2020 Oct 18.","Pfeil JN","J Telemed Telecare","2023","2020/10/19","","","10.1177/1357633X20963935"
"34563176","Telehealth to support referral management in a universal health system: a before-and-after study","Gadenz SD, Basso J, de Oliviera PRBP, Sperling S, Zuanazzi MVD, Oliveira GG, da Silva IM, Motta RM, Gehres LG, de Brito Mallmann É, Rodrigues ÁS, Pachito DV, de Faria Leao B.","BMC Health Serv Res. 2021 Sep 25;21(1):1012. doi: 10.1186/s12913-021-07028-5.","Gadenz SD","BMC Health Serv Res","2021","2021/09/26","PMC8467186","","10.1186/s12913-021-07028-5"
"32972734","Pregnant women's perspectives about maternal immunization in Latin America","Fauzia Malik A, Belizan M, Gutierrez M, Vilajeliu A, Sanclemente LN, Gonzalez Casanova I, Jones D, Omer S, Maria Ropero A, Pedro Alonso J.","Vaccine. 2021 Jul 30;39 Suppl 2:B44-B49. doi: 10.1016/j.vaccine.2020.09.009. Epub 2020 Sep 22.","Fauzia Malik A","Vaccine","2021","2020/09/25","","","10.1016/j.vaccine.2020.09.009"
"37791791","Waiting time for kidney transplantation based on calculated panel reactive antibodies: experience of a southern Brazilian center","Ramos LA, Schiavo T, Montagner J, Bundcher C, Kist R, Garcia VD, Neumann J, Keitel E.","J Bras Nefrol. 2024 Jan-Mar;46(1):79-84. doi: 10.1590/2175-8239-JBN-2022-0132en.","Ramos LA","J Bras Nefrol","2024","2023/10/04","PMC10962418","","10.1590/2175-8239-JBN-2022-0132en"
"35578128","Factors Related to Delayed Diagnosis of Cutaneous Melanoma in the Brazilian Public Health System","Paula Bhering Nogueira A, Drummond-Lage AP, Drummond Pinho Ribeiro G, Ferreira Leite E, Henrique Xavier M, Julius Alves Wainstein A.","J Cancer Educ. 2022 Aug;37(4):1253-1259. doi: 10.1007/s13187-022-02176-6. Epub 2022 May 17.","Paula Bhering Nogueira A","J Cancer Educ","2022","2022/05/16","","","10.1007/s13187-022-02176-6"
"39879439","[Gastric cancer cases in Brazil and waiting times for diagnosis and treatment]","Carvalho TC, Borges AKDM, Silva IFD.","Cien Saude Colet. 2025 Jan;30(1):e01222023. doi: 10.1590/1413-81232025301.01222023. Epub 2023 Oct 5.","Carvalho TC","Cien Saude Colet","2025","2025/01/29","","","10.1590/1413-81232025301.01222023"
"37161464","Factors related to the waiting time for scheduling an oral biopsy in Brazil: a multilevel analysis","De-Carli AD, da Cunha AR, do Amaral-Silva GK, Vasconcelos J, Dos Santos MLM, Probst LF.","BMC Health Serv Res. 2023 May 9;23(1):461. doi: 10.1186/s12913-023-09437-0.","De-Carli AD","BMC Health Serv Res","2023","2023/05/10","PMC10170778","","10.1186/s12913-023-09437-0"
"37824516","Identifying and understanding the care pathway of patients with atrial fibrillation in Brazil and the impact of the COVID-19 pandemic: A mixed-methods study","Goulart AC, Varella AC, Gooden TE, Lip GYH, Jolly K, Thomas GN, Lotufo PA, Greenfield S, Olmos RD, Bensenor IM, Manaseki-Holland S; NIHR Global Health Research Group on Atrial Fibrillation Management.","PLoS One. 2023 Oct 12;18(10):e0292463. doi: 10.1371/journal.pone.0292463. eCollection 2023.","Goulart AC","PLoS One","2023","2023/10/12","PMC10569511","","10.1371/journal.pone.0292463"
"34967971","Factors associated with the waiting time for access to specialized oral healthcare services in Brazil","Cavalcanti RP, da Silva RO, Martelli PJL, Sobrinho JEL, Pucca Júnior GA, da Silveira Gaspar G, de Lucena EHG.","Community Dent Oral Epidemiol. 2022 Feb;50(1):58-66. doi: 10.1111/cdoe.12720.","Cavalcanti RP","Community Dent Oral Epidemiol","2022","2021/12/30","","","10.1111/cdoe.12720"
"34639518","Description of e-Health Initiatives to Reduce Chronic Non-Communicable Disease Burden on Brazilian Health System","Rodrigues DLG, Belber GS, Borysow IDC, Maeyama MA, Pinho APNM.","Int J Environ Res Public Health. 2021 Sep 28;18(19):10218. doi: 10.3390/ijerph181910218.","Rodrigues DLG","Int J Environ Res Public Health","2021","2021/10/13","PMC8508239","","10.3390/ijerph181910218"
"37120344","Mechanical Circulatory Assistance in Children: Clinical Outcome","Corbi MJAB, Jatene MB, Siqueira AWDS, Grau CRPC, Tavares GMP, Ikari NM, Azeka E.","Transplant Proc. 2023 Jul-Aug;55(6):1425-1428. doi: 10.1016/j.transproceed.2023.04.002. Epub 2023 Apr 28.","Corbi MJAB","Transplant Proc","2023","2023/04/29","","","10.1016/j.transproceed.2023.04.002"
"38656030","Transition from an in-person to a telemedicine diabetic retinopathy screening program","Barbieri VOA, Nakayama LF, Barbieri GA, Silva SERD, Karmouche DCJ, Shinzato MNO, Nakagawa RE, Regatieri CV, Malerbi FK.","Arq Bras Oftalmol. 2024 Apr 19;87(4):e2023. doi: 10.5935/0004-2749.2023-0200. eCollection 2024.","Barbieri VOA","Arq Bras Oftalmol","2024","2024/04/24","PMC11622841","","10.5935/0004-2749.2023-0200"
"36345998","Brazilian Dialysis Survey 2021","Nerbass FB, Lima HN, Thomé FS, Vieira Neto OM, Sesso R, Lugon JR.","J Bras Nefrol. 2023 Apr-Jun;45(2):192-198. doi: 10.1590/2175-8239-JBN-2022-0083en.","Nerbass FB","J Bras Nefrol","2023","2022/11/08","PMC10627134","","10.1590/2175-8239-JBN-2022-0083en"
"37624335","Spatial Analysis of Tuberculosis Patient Flow in a Neglected Region of Northern Brazil","Mesquita CR, da Conceição ML, de Oliveira RAC, Conceição EC, Garcez JCD, Sousa IFR, Lima LNGC, Lima KVB, de Paula Souza E Guimarães RJ.","Trop Med Infect Dis. 2023 Aug 2;8(8):397. doi: 10.3390/tropicalmed8080397.","Mesquita CR","Trop Med Infect Dis","2023","2023/08/25","PMC10457907","","10.3390/tropicalmed8080397"
"36820728","Care trajectories of COVID-19 patients: from preventive measures to rehabilitation","Almeida PF, Casotti E, Silvério RFL.","Cad Saude Publica. 2023 Feb 17;39(2):e00163222. doi: 10.1590/0102-311XPT163222. eCollection 2023.","Almeida PF","Cad Saude Publica","2023","2023/02/23","","","10.1590/0102-311XPT163222"
"40366966","Musical Visit project: satisfaction of companions of outpatient pediatric patients","Lago MEA, Zanin L, Flório FM.","Rev Gaucha Enferm. 2025 May 12;46:e20240220. doi: 10.1590/1983-1447.2025.20240220.en. eCollection 2025.","Lago MEA","Rev Gaucha Enferm","2025","2025/05/14","","","10.1590/1983-1447.2025.20240220.en"
"40588668","An openEHR based infection control system to support monitoring of nosocomial bacterial clusters and contacts","Biermann P, Baier C, Vietor AC, Zacher B, Baumgartl T, von Landesberger T, Behnke M, Storck M, Petzold M, Kaase M; HiGHmed lnfection Control Study Group; Schlüter D, Marschollek M, Scheithauer S, Wulff A.","NPJ Digit Med. 2025 Jun 30;8(1):385. doi: 10.1038/s41746-025-01795-9.","Biermann P","NPJ Digit Med","2025","2025/06/30","PMC12209414","","10.1038/s41746-025-01795-9"
"37341231","Integrality, absenteeism and resolubility of specialized care for pediatric patients: a cross-sectional study","Gouvêa DB, Neves M, Rodrigues JA.","Braz Oral Res. 2023 Jun 19;37:e058. doi: 10.1590/1807-3107bor-2023.vol37.0058. eCollection 2023.","Gouvêa DB","Braz Oral Res","2023","2023/06/21","","","10.1590/1807-3107bor-2023.vol37.0058"
"36888854","Single waiting list for hospital beds during the COVID-19 pandemic: performance of the Federal Legislative Branch in 2020","Rodrigues APN, Alves SMC, Delduque MC.","Cien Saude Colet. 2023 Mar;28(3):685-697. doi: 10.1590/1413-81232023283.13822022. Epub 2022 Sep 23.","Rodrigues APN","Cien Saude Colet","2023","2023/03/08","","","10.1590/1413-81232023283.13822022"
"41370462","Implementation and evaluation of a multidisciplinary training course in waiting list management","Lisbôa RL, Paz AA.","Rev Bras Enferm. 2025 Dec 8;78(5):e20250142. doi: 10.1590/0034-7167-2025-0142. eCollection 2025.","Lisbôa RL","Rev Bras Enferm","2025","2025/12/10","PMC12707538","","10.1590/0034-7167-2025-0142"
"40561310","Machine Learning and Simulation: pathways to efficient emergency care in Brazil","Costa APA, Costa VPA, Pereira DAM, Costa IPA, Moreira MÂL, Braga GO, Santos MD, Gomes CFS.","Cien Saude Colet. 2025 Jun;30(6):e03522025. doi: 10.1590/1413-81232025306.03522025. Epub 2025 Feb 27.","Costa APA","Cien Saude Colet","2025","2025/06/25","","","10.1590/1413-81232025306.03522025"
"36969774","Impacts of the Delayed Surgical Correction of Adolescent Idiopathic Scoliosis and its Repercussions for the Brazilian Unified Health System: Systematic Review Protocol","Pontes MDS, Soeira TP, Sampaio ML, Herrero CFPDS.","Rev Bras Ortop (Sao Paulo). 2022 Jun 27;58(1):19-22. doi: 10.1055/s-0042-1750829. eCollection 2023 Feb.","Pontes MDS","Rev Bras Ortop (Sao Paulo)","2022","2023/03/27","PMC10038703","","10.1055/s-0042-1750829"
"39215436","Regional Disparities in Kidney Transplant Allocation in Brazil: A Retrospective Cohort Study","Salomão Pontes DF, Fernandes Ferreira G, Segev D, Massie AB, Levan M, Barbosa AMP, da Rocha NC, Modelli de Andrade LG.","Clin Transplant. 2024 Sep;38(9):e15446. doi: 10.1111/ctr.15446.","Salomão Pontes DF","Clin Transplant","2024","2024/08/31","","","10.1111/ctr.15446"
"34864797","The Impact of the COVID-19 Pandemic on Corneal Transplantation in Brazil","Moriyama AS, Erbs Pessoa JL, Silva Bessa TR, Pereira NC, Mehta JS, Hofling-Lima AL, Dos Santos Forseto A.","Cornea. 2022 Mar 1;41(3):322-327. doi: 10.1097/ICO.0000000000002949.","Moriyama AS","Cornea","2022","2021/12/05","","","10.1097/ICO.0000000000002949"
"40848516","What can be done to reduce surgical waiting time for pediatric ent in public health care in Brazil?","Fujita RR, Pignatari SSN, Chen VG, Lorenzon PA, Neves LR, Matsumoto GRLL, de Nobrega M, Onishi ET, Bommarito S, Araki JO.","Braz J Otorhinolaryngol. 2025 Sep-Oct;91(5):101700. doi: 10.1016/j.bjorl.2025.101700. Epub 2025 Aug 22.","Fujita RR","Braz J Otorhinolaryngol","2025","2025/08/23","PMC12485548","","10.1016/j.bjorl.2025.101700"
"38762404","Serologic Evaluation for Severe Acute Respiratory Syndrome Coronavirus 2 in Pediatric Heart Transplantation Recipients and Patients on a Pediatric Heart Transplantation Waiting List in a Quaternary Hospital","Villari CA, Siqueira A, Strunz C, Moscan C, Jatene M, Miura N, Azeka E.","Transplant Proc. 2024 Jun;56(5):1112-1114. doi: 10.1016/j.transproceed.2024.04.023. Epub 2024 May 17.","Villari CA","Transplant Proc","2024","2024/05/18","","","10.1016/j.transproceed.2024.04.023"
"38169439","Inequalities in the access to diagnosis and treatment of obstructive sleep apnea in Brazil: a cross-sectional study","Drager LF, Santos RB, Pachito D, Albertini CS, Sert Kuniyoshi FH, Eckeli AL.","J Clin Sleep Med. 2024 May 1;20(5):735-742. doi: 10.5664/jcsm.10976.","Drager LF","J Clin Sleep Med","2024","2024/01/03","PMC11063704","","10.5664/jcsm.10976"
"37729280","ACUTE CHOLECYSTITIS IN HIGH-RISK PATIENTS. SURGICAL, RADIOLOGICAL, OR ENDOSCOPIC TREATMENT? BRAZILIAN COLLEGE OF DIGESTIVE SURGERY POSITION PAPER","Coelho JCU, Costa MARD, Enne M, Torres OJM, Andraus W, Campos ACL.","Arq Bras Cir Dig. 2023 Sep 15;36:e1749. doi: 10.1590/0102-672020230031e1749. eCollection 2023.","Coelho JCU","Arq Bras Cir Dig","2023","2023/09/20","PMC10510100","","10.1590/0102-672020230031e1749"
"38180798","Usability of an App for Medical History Taking in General Practice From the Patients' Perspective: Cross-Sectional Study","Albrink K, Schröder D, Joos C, Müller F, Noack EM.","JMIR Hum Factors. 2024 Jan 5;11:e47755. doi: 10.2196/47755.","Albrink K","JMIR Hum Factors","2024","2024/01/05","PMC10799287","","10.2196/47755"
"38191217","Reduction of hospital length of stay through the implementation of SAFER patient flow bundle and Red2Green days tool: a pre-post study","Benevides Santos Paiva M, de Gouvêa Viana L, Melo de Andrade MV.","BMJ Open Qual. 2024 Jan 8;13(1):e002399. doi: 10.1136/bmjoq-2023-002399.","Benevides Santos Paiva M","BMJ Open Qual","2024","2024/01/08","PMC10806560","","10.1136/bmjoq-2023-002399"
"38184218","Influence of HLA-A, B, and -DRB1 genes and panel-reactive antibodies on the waitlist time for kidney transplantation in the state of Sao Paulo-Brazil","Ravazzi-Gauch C, Marzochi LL, Bajay MM, Medeiros MP, Caldas HC, Abbud-Filho M.","Transpl Immunol. 2024 Apr;83:101981. doi: 10.1016/j.trim.2023.101981. Epub 2024 Jan 4.","Ravazzi-Gauch C","Transpl Immunol","2024","2024/01/06","","","10.1016/j.trim.2023.101981"
"36043676","The impact of COVID-19 on kidney transplant activities in Brazil: a descriptive study","Passoni R, Gadonski B, Carvalho ARDS, Freitas TVS, Peres LAB.","Sao Paulo Med J. 2023 Jan-Feb;141(1):60-66. doi: 10.1590/1516-3180.2021.0956.R1.29042022.","Passoni R","Sao Paulo Med J","2023","2022/08/31","PMC9808990","","10.1590/1516-3180.2021.0956.R1.29042022"
"39082539","Educational technology for multidisciplinary training for managing waiting lists for elective patients","Lisbôa RL, Furtado KF, Rosa VSD, Evangelista CS, Paz AA.","Rev Bras Enferm. 2024 Jul 29;77(3):e20230299. doi: 10.1590/0034-7167-2023-0299. eCollection 2024.","Lisbôa RL","Rev Bras Enferm","2024","2024/07/31","PMC11290741","","10.1590/0034-7167-2023-0299"
"35392886","Using information and communication technologies (ICTs) to solve the repressed demand for primary dental care in the Brazilian Unified Health System due to the COVID-19 pandemic: a randomized controlled study protocol nested with a before-and-after study including economic analysis","Natal KH, Machado TG, Bracco F, Lemos LI, Vigano ME, Machado GM, Yampa-Vargas JD, Raggio DP, Mendes FM, Imparato JCP, Lucena EHG, Cavalcanti YW, Silva CI, Souza Filho GL, Macedo MCS, Carrer FCA, Braga MM.","BMC Oral Health. 2022 Apr 7;22(1):112. doi: 10.1186/s12903-022-02101-9.","Natal KH","BMC Oral Health","2022","2022/04/08","PMC8988474","","10.1186/s12903-022-02101-9"
"35589415","Effect of the COVID-19 Pandemic on Organ Donation and Transplantation in São Paulo, Brazil","Pessoa JLE, Donnini OA, Monteiro F.","Transplant Proc. 2022 Jun;54(5):1221-1223. doi: 10.1016/j.transproceed.2022.03.022. Epub 2022 Apr 22.","Pessoa JLE","Transplant Proc","2022","2022/05/19","PMC9023323","","10.1016/j.transproceed.2022.03.022"
"38946840","Impact of the COVID-19 Pandemic on Elective and Emergency Surgeries, and Postoperative Mortality in a Brazilian Metropolitan Area: A Time-Series Cohort Study","Ferreira DP, Bolognani CV, Santana LA, Fernandes SES, de Moraes MSF, Fernandes LAS, de Oliveira DQ, de Santana RB, Gottems LBD, Amorim FF.","Risk Manag Healthc Policy. 2024 Jun 25;17:1701-1712. doi: 10.2147/RMHP.S459307. eCollection 2024.","Ferreira DP","Risk Manag Healthc Policy","2024","2024/07/01","PMC11214554","","10.2147/RMHP.S459307"
"37729279","THE OPTIMUM LEVEL OF MELD TO MINIMIZE THE MORTALITY ON LIVER TRANSPLANTATION WAITING LIST, AND LIVER TRANSPLANTED PATIENT IN SÃO PAULO STATE, BRAZIL","Chaib E, Pessoa JLE, Struchiner CJ, D'Albuquerque LAC, Massad E.","Arq Bras Cir Dig. 2023 Sep 15;36:e1746. doi: 10.1590/0102-672020230028e1746. eCollection 2023.","Chaib E","Arq Bras Cir Dig","2023","2023/09/20","PMC10510095","","10.1590/0102-672020230028e1746"
"39525682","Patients' Nonattendance in Outpatient Specialist Consultations: A National Cohort Analysis of a Health System","Silva JMB, De Souza Bermejo PH, Moreira MF, Prata DN, Trevisan DMQ, Dos Santos OA.","Risk Manag Healthc Policy. 2024 Nov 6;17:2705-2716. doi: 10.2147/RMHP.S468455. eCollection 2024.","Silva JMB","Risk Manag Healthc Policy","2024","2024/11/11","PMC11550699","","10.2147/RMHP.S468455"
"37529769","Telemedicine in Brazil: Teleconsultations at the Largest University Hospital in the Country","Scudeller PG, Pereira AJ, Cerri GG, Jatene FB, Bego M, Amaral TF, Garcia ML, Lamas CA, Alvarenga AM, Gutierrez MA, Cobello Junior V, de Carvalho CRR.","Telemed Rep. 2023 Jul 31;4(1):193-203. doi: 10.1089/tmr.2023.0012. eCollection 2023.","Scudeller PG","Telemed Rep","2023","2023/08/02","PMC10389256","","10.1089/tmr.2023.0012"
"37851753","VALIDITY OF THE BRAZILIAN-PORTUGUESE VERSION OF MOOREHEAD-ARDELT QUALITY OF LIFE QUESTIONNAIRE II AMONG PATIENTS WITH SEVERE OBESITY","Cremonesi MC, Duarte-Guerra L, Pajecki D, Santo MA, Lotufo Neto F, Wang YP.","Arq Bras Cir Dig. 2023 Oct 13;36:e1767. doi: 10.1590/0102-672020230049e1767. eCollection 2023.","Cremonesi MC","Arq Bras Cir Dig","2023","2023/10/18","PMC10578149","","10.1590/0102-672020230049e1767"
"35003264","Tooth- and Patient-Related Conditions May Influence Root Canal Treatment Indication","Albuquerque MTP, Abreu LC, Martim L, Münchow EA, Nagata JY.","Int J Dent. 2021 Dec 30;2021:7973356. doi: 10.1155/2021/7973356. eCollection 2021.","Albuquerque MTP","Int J Dent","2021","2022/01/10","PMC8739173","","10.1155/2021/7973356"
"40862439","Radiotherapy services in Brazil: current scenario, challenges, and proposals for solutions","Silva RGDD, Araujo CAS.","Cad Saude Publica. 2025 Aug 22;41(8):e00127324. doi: 10.1590/0102-311XEN127324. eCollection 2025.","Silva RGDD","Cad Saude Publica","2025","2025/08/27","PMC12404313","","10.1590/0102-311XEN127324"
"36291354","Profile of Service Use and Barriers to Access to Care among Brazilian Children and Adolescents with Autism Spectrum Disorders","Araripe B, Montiel-Nava C, Bordini D, Cunha GR, Garrido G, Cukier S, Garcia R, Rosoli A, Valdez D, Caetano SC, Rattazzi A, Paula CS.","Brain Sci. 2022 Oct 21;12(10):1421. doi: 10.3390/brainsci12101421.","Araripe B","Brain Sci","2022","2022/10/27","PMC9599055","","10.3390/brainsci12101421"
"37980591","Decentralizing referral prioritization to general practitioners at the primary care level: A qualitative case study based on the Grounded Theory","Jatobá A, Bellas H, Arcuri R, Sobral ALA, Bulhões B, Vianna J, de Castro Nunes P, d'Avila AL, de Carvalho PVR.","Work. 2024;77(4):1189-1203. doi: 10.3233/WOR-230228.","Jatobá A","Work","2024","2023/11/19","","","10.3233/WOR-230228"
"41779578","[Self-perceived discrimination and evaluation of care in health services in Brazil]","Albuquerque PVC, Flores-Quispe MDP, Tomasi E.","Cien Saude Colet. 2026 Feb;31(2):e10382023. doi: 10.1590/1413-81232026312.10382023. Epub 2025 Jan 8.","Albuquerque PVC","Cien Saude Colet","2026","2026/03/04","","","10.1590/1413-81232026312.10382023"
"36717364","Managing inpatient bed setup: an action-research approach using lean technical practices and lean social practices","Reis LP, Fernandes JM, Silva SE, Andreosi CAC.","J Health Organ Manag. 2023 Jan 31;ahead-of-print(ahead-of-print). doi: 10.1108/JHOM-09-2021-0365.","Reis LP","J Health Organ Manag","2023","2023/01/30","","","10.1108/JHOM-09-2021-0365"
"38118157","Integrated services for neglected tropical diseases and mental health: pilot study assessing acceptability, feasibility and attitudes in Benue State, Nigeria","Obindo T, Eaton J, Tsaku P, Nwefoh E, Ode P, Baird T, Sunday P, Afolaranmi T.","Int Health. 2023 Dec 20;15(15 Suppl 3):iii37-iii46. doi: 10.1093/inthealth/ihad073.","Obindo T","Int Health","2023","2023/12/20","PMC10732684","","10.1093/inthealth/ihad073"
"35439404","Lean healthcare applied systematically in a medium-sized medical clinic hospitalization","Martins Drei S, Sérgio de Arruda Ignácio P.","J Health Organ Manag. 2022 Apr 21;ahead-of-print(ahead-of-print). doi: 10.1108/JHOM-05-2021-0194.","Martins Drei S","J Health Organ Manag","2022","2022/04/19","","","10.1108/JHOM-05-2021-0194"
