"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Hospital Management and Scheduling with Multi Agents Approach","K. Cincar","Faculty of Mathematics and Computer Science, West University of Timisoara, Timisoara, Romania",2020 International Conference on e-Health and Bioengineering (EHB),"10 Dec 2020","2020","","","1","4","Hospital scheduling system based on multi-agent correlation. Supporting hospital planning decisions is a paradigm in which the hospital must coordinate better development of the relationship between doctors, hospital resources, hospital care staff, and patients. The aim of this paper is to present a multiagent hospital planning system. Doctors' working hours are determined based on uncertain service time, patient arrival time, patient waiting time, and completion time used to evaluate this used data set in which there are 110,527 medical appointments with the 14 related variables. Several of these variables are used in the following hospital sections: Hypertension, Diabetes, Alcoholism, where each patient's ap-pointment adds a portion of priorities, to get the optimal cost for hospital scheduling.","2575-5145","978-1-7281-8803-4","10.1109/EHB50910.2020.9280281","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9280281","Hospital Scheduling;Hospital management;Multi-agents;Decision support;modeling hospital.","Hospitals;Medical services;Scheduling;Python;Processor scheduling;Job shop scheduling;Multi-agent systems","","3","","14","IEEE","10 Dec 2020","29-30 Oct. 2020","29-30 Oct. 2020","IEEE","IEEE Conferences"
"The Application of a Machine Learning Ensemble Model to Improve Bed Allocation Strategies in Australian Healthcare System","K. Panchal; R. K. Chakrabortty","School of Engineering & Technology, UNSW Canberra, Canberra, ACT, Australia; School of Systems & Computing, UNSW Canberra, Canberra, ACT, Australia",2025 IEEE International Conference on Industrial Engineering and Engineering Management (IEEM),"2 Feb 2026","2025","","","1255","1260","Integrating machine learning (ML) models into hospital operations is a transformative approach to improving bed allocation strategies and improving efficiency and patient outcomes. This research explores how ML can be utilised to refine bed management in healthcare settings, focusing on patient flow dynamics, resource availability, and operational constraints. This research sourced data from multiple hospitals in Australia via the public datasets from the Australian Institute of Healthcare (AIHW) and Medical Information Mart for Intensive Care IV (MIMIC-IV) public database through Beth Israel Deacon Medical Centre, focusing on electronic health records, demographic information, and historical bed occupancy statistics. The findings highlighted that the XGBoost ensemble model, with random forest and support vector regression used as base learners, was the most accurate model with a root-mean-squared error of 0.190 and mean-absolute percentage error of 1.640%. To validate the model, there was an RMSE difference of 0.090 between the accuracy of all the datasets from AIHW, with lower accuracies from the MIMIC-IV datasets. The research underscores the need to continue exploring ML capabilities, particularly in addressing long-term strategic planning for hospital bed management.","","979-8-3315-2521-7","10.1109/IEEM63636.2025.11357728","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11357728","Decision Support System;Simulation technologies;Industry 4.0","Support vector machines;Accuracy;Hospitals;MIMICs;Focusing;Predictive models;Strategic planning;Data models;Resource management;Random forests","","","","7","IEEE","2 Feb 2026","7-10 Dec. 2025","7-10 Dec. 2025","IEEE","IEEE Conferences"
"Digital Twin Applications in Healthcare Facilities Management","M. Kandan; P. Naveen; G. Nagarajan; S. Janagiraman","Department of Computing Technologies, School of Computing, College of Engineering and Technology, SRM Institute of Science and Technology, Kattankulathur, Tamil Nadu, India; Department of Computational Intelligence, SRM Institute of Science and Technology, Chennai, India; Department of Computer Science and Engineering, Kalasalingam Academy of Research and Education, Krishnan Koil, Tamil Nadu, India; Department of CSE, St. Joseph's Institute of Technology, Chennai, Tamil Nadu, India",Artificial Intelligence-Enabled Blockchain Technology and Digital Twin for Smart Hospitals,"","2024","","","435","449","Summary <p>Among the many new areas seeing fast adoption of digital twin technology is healthcare facility management, which had its origins in engineering and manufacturing. By allowing the production of virtual duplicates that mirror the actual environment and activities in real time, digital twins have the potential to change the management of healthcare facilities. This study aims to examine this possibility. The research starts with a brief introduction to digital twin technology before moving on to describe the main features, including sensors, data analytics, and simulation models. Optimal allocation of resources, assurance of patient safety, and improvement of operational efficiency are some of the specific challenges faced by healthcare administrators. By allowing the real‐time monitoring and analysis of several components of healthcare facilities, digital twins can potentially aid in the resolution of these challenges, as we outline in our paper. Building infrastructure, equipment functionality, and patient movement are all part of these factors. By merging data from sensors, EHRs, and other sources, digital twins give stakeholders valuable insights into a facility's functioning. The facility may be improved on an ongoing basis since this empowers stakeholders to take the initiative.</p>","","9781394287413","10.1002/9781394287420.ch22","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10953256.pdf&bkn=10950209&pdfType=chapter","","Digital twins;Medical services;Real-time systems;Facilities management;Sensors;Monitoring;Stakeholders;Resource management;Manufacturing;Industries","","","","","","8 Apr 2025","","","Wiley","Wiley AI eBook Chapters"
"Optimizing Hospital Bed Management Through Business Process Automation","S. Elhag; M. Saeed; A. Albiladi; A. Ajeeb","Department of Information Systems, King Abdulaziz University, Jeddah, Saudi Arabia; Department of Information Systems, King Abdulaziz University, Jeddah, Saudi Arabia; Department of Information Systems, King Abdulaziz University, Jeddah, Saudi Arabia; Department of Information Systems, King Abdulaziz University, Jeddah, Saudi Arabia",2026 International Conference on AI Innovations and Industry (ICAIII),"22 May 2026","2026","","","1","6","Digital transformation has made automation essential for improving hospital internal operations. This study improves hospital bed management using the Business Process Management (BPM) methodology. The current (AS-IS) workflow relies on manual coordination between reception, nursing, and hygiene departments, leading to delays and long patient waiting times. Bizagi simulation revealed the process cycles exceeding three hours. A (TO-BE) model introducing a centralized Hospital Bed Management System (HBMS) was proposed to automate notifications, synchronize tasks, and generate KPIs. Simulation results reduced completion time to twenty-five minutes and eliminated communication delays. Demonstrating improved efficiency and patient care quality.","","979-8-3315-8285-2","10.1109/ICAIII69475.2026.11521364","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11521364","Business Process Management (BPM);Bizagi Simulation;Healthcare Automation;Hospital Bed Management","Modeling;Medical services;Timing;Artificial intelligence;Automation;Hospitals;Management;Printing;Manuals;Delays","","","","30","IEEE","22 May 2026","6-8 April 2026","6-8 April 2026","IEEE","IEEE Conferences"
"Simulated Annealing Based Approach for Optimization of Surgical Load Distribution","S. Negi; S. K. Sunori","College of Nursing, Graphic Era Hill University, Bhimtal Campus, Bhimtal, India; Department of ECE, Graphic Era Hill University, Bhimtal Campus, Bhimtal, India",2025 6th International Conference on Data Intelligence and Cognitive Informatics (ICDICI),"2 Sep 2025","2025","","","1230","1235","In hospital management, the efficient scheduling of the operating rooms is a challenging task which has the direct impact on resource utilization and waiting times for patients, hence affecting the entire hospital's work flow. The conventional techniques like rule-based or heuristicbased methods at times fail in providing optimal solutions because of complex nature of problem. This research is addressing this surgical scheduling problem by implementing Simulated Annealing (SA) algorithm in MATLAB. It is a well-known metaheuristic optimization algorithm, mimicking the physical annealing process done on metals to remove their defects, exploring and refining solutions gradually. The key objective of this research is minimization of waiting time variance for operating rooms to confirm a uniform distribution of surgical procedures while keeping the computational efficiency maintained. In this research work, the SA algorithm is applied in an environment where the surgeries are interchanged between underloaded and overloaded rooms for improving balance. A variance-based cost function has been used for optimizing room utilization with gradual cost reduction. An adaptive logarithmic cooling schedule has been utilized by SA algorithm to ensure controlled temperature for attaining a promising convergence. The results exhibited a noteworthy reduction in the waiting time variance which validates the efficacy of proposed optimization method. This work underscores the ability of SA algorithm to optimize surgical scheduling in hospital scenarios. The proposed scheme attained successfully, a well-balanced schedule having minimal variance enhancing overall efficiency of the hospital. Future work could integrate reinforcement learning or genetic algorithm with SA to achieve further improvements.","","979-8-3315-0313-0","10.1109/ICDICI66477.2025.11135180","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11135180","Operating room scheduling;Simulated Annealing;Waiting time variance;Cooling schedule;Cost function;Health care management","Schedules;Hospitals;Cooling;Surgery;Simulated annealing;Reinforcement learning;Cost function;Scheduling;Real-time systems;Mathematical models","","","","17","IEEE","2 Sep 2025","9-11 July 2025","9-11 July 2025","IEEE","IEEE Conferences"
"Indoor Geolocation Demonstrator: Enhancing Efficiency Through Real-Time Tracking and AI Optimization","I. Toujani; N. Singer; I. Megdiche; X. Alacoque","Toulouse University, INUC, ISIS, Castres, France; Toulouse University, INUC, IRIT, France, Castres, France; Toulouse University, INUC, IRIT, France, Castres, France; IUCT-Oncopole, Toulouse, France",2024 IEEE/ACS 21st International Conference on Computer Systems and Applications (AICCSA),"11 Mar 2025","2024","","","1","6","The integration of indoor geolocation technologies within hospital environments presents a significant opportunity to understand circulation patterns, identify congestion areas, and optimize care processes. In this paper, we propose a complete framework of indoor geolocation solutions tailored to hospital settings, aiming to understand circulation patterns, identify congestion areas, and optimize care processes. The framework includes the development and deployment of ESP32-based devices to capture MAC addresses via BLE and WiFi sniffing, and the use of AI models to predict the tracking speed of these addresses. Our results demonstrate improved patient flow management and enhanced care coordination through real-time tracking and data analysis.","2161-5330","979-8-3315-1824-0","10.1109/AICCSA63423.2024.10912535","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10912535","indoor geolocation;ESP32;MAC addresses;BLE;WiFi;hospital;patient flow management","Protocols;Tracking;Hospitals;Geology;Refining;Predictive models;Real-time systems;Resource management;Artificial intelligence;Wireless fidelity","","","","13","IEEE","11 Mar 2025","22-26 Oct. 2024","22-26 Oct. 2024","IEEE","IEEE Conferences"
"Machine Learning for Emergency Service Optimization: A Real-World Application","J. Zhong; T. Abreu; M. Heidet; F. S. Lucas; S. Souihi","Image, Signal and Intelligent Systems (LiSSi) Laboratory, UPEC, France; Image, Signal and Intelligent Systems (LiSSi) Laboratory, UPEC, France; Assistance Publique-Hôpitaux de Paris (AP-HP), France; Laboratoire Eau, Environnement et Systèmes Urbains (Leesu), ENPC, France; Image, Signal and Intelligent Systems (LiSSi) Laboratory, UPEC, France",2024 IEEE Canadian Conference on Electrical and Computer Engineering (CCECE),"12 Sep 2024","2024","","","387","391","The paper introduces an advanced decision support system based on machine learning to optimize emergency service allocation in hospital emergency departments (EDs). By predicting unscheduled patient arrivals and the required number of physicians based on real-world data, our system addresses the complexity of ED operations, influenced by internal factors such as resource availability and external environmental unpredictability. We address the problem by enabling hourly and daily forecasting for emergency departments, incorporating the lagged effects of environmental pollution shifted by months. Comparative evaluations are conducted using statistical and machine learning methods to verify the performance of our approach in minimizing patient waiting times and costs for emerging cases. This study demonstrates the effectiveness of machine learning in enhancing decision-making processes and optimizing emergency services within dynamic healthcare environments.","2576-7046","979-8-3503-7162-8","10.1109/CCECE59415.2024.10667106","China Scholarship Council; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10667106","Machine Learning;Forecasting Model;Emergency Department;Time Series;Regression Model;Data Aggregation;Decision Support System","Decision support systems;Pollution;Costs;Hospitals;Computational modeling;Machine learning;Emergency services","","1","","13","IEEE","12 Sep 2024","6-9 Aug. 2024","6-9 Aug. 2024","IEEE","IEEE Conferences"
"Resource-Efficient Personalized Healthcare via Cloud-Enabled Decision Tree Models","S. R. Narani; M. Patil; N. Mulugu; P. T; M. M; B. Arunagiri","Independent Researcher, Texas, USA; Department of Electronics and Telecommunication Engineering, Rajarambapu Institute of Technology, Sangli, Maharashtra, India; Department of Computer Science and Engineering, Malla Reddy Engineering College for Women (Autonomous), Hyderabad, Telangana, India; Department of Artificial Intelligence & Data Science, Annapoorana Engineering College (Autonomous), Salem, Tamil Nadu, India; Department of Biomedical Engineering, Saveetha School of Engineering, Saveetha Institute of Medical and Technical Sciences, Saveetha University, Chennai, Tamil Nadu, India; Department of Technology, Adhiparasakthi Engineering College, Melmaruvathur, Tamil Nadu, India",2025 11th International Conference on Communication and Signal Processing (ICCSP),"29 Jul 2025","2025","","","612","617","To optimize healthcare delivery and improve patient outcomes, it is vital to allocate resources efficiently in personalized patient navigation systems (PPNS). To accomplish these goals, this study presents a new method that makes use of cloud-enabled Decision Trees (CEDT). Static resource allocation techniques might hinder the efficiency of PPNS, which are meant to customize healthcare. This paper proposes a flexible and extensible system that combines CEDT with cloud computing. By optimizing resource allocation across several phases of patient care, CEDT enables real-time decision-making by analyzing patient data and current healthcare needs. Increased scalability and flexibility are benefits of cloud-based deployment that also makes it easier to integrate with preexisting healthcare IT systems. Optimal resource utilization increased operational efficiency, and better response to patient demands are some of the main advantages of the proposed method. Validation experiments on services using MIMIC-IV database using simulated patient settings show that CEDT improves PPNS performance over the status. Metrics for healthcare service performance and patient satisfaction both showed considerable improvements. Developing efficient and adaptable PPNS via the use of cloud computing and DT algorithms helps move personalized healthcare forward. The methodology enhanced resource utilization by 32%, diminished patient waiting times by 27%, and augmented decision-making efficiency by 40% illustrating the efficacy of CEDT in PPNS.","2836-1873","978-1-6654-5736-1","10.1109/ICCSP64183.2025.11089215","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11089215","Patient-centric care;Healthcare IT systems;Realtime decision-making;Healthcare service delivery;Resource allocation","Cloud computing;Navigation;Computational modeling;Decision making;Signal processing algorithms;Medical services;Signal processing;Real-time systems;Resource management;Decision trees","","","","21","IEEE","29 Jul 2025","5-7 June 2025","5-7 June 2025","IEEE","IEEE Conferences"
"Optimizing Emergency Department Operations: A Conceptual Framework for Enhancing Patient Flow","E. Ouda; A. Sleptchenko; M. C. Emre Simsekler","Management Science & Engineering, Khalifa University of Science & Technology, Abu Dhabi, United Arab Emirates; Management Science & Engineering, Khalifa University of Science & Technology, Abu Dhabi, United Arab Emirates; Management Science & Engineering, Khalifa University of Science & Technology, Abu Dhabi, United Arab Emirates","2024 IEEE International Conference on Technology Management, Operations and Decisions (ICTMOD)","11 Apr 2025","2024","","","1","6","Overcrowding in emergency departments (EDs) poses significant challenges to healthcare systems worldwide, leading to delays in patient care, increased morbidity, and decreased patient satisfaction. This paper proposes a conceptual framework for the patient flow to address these challenges by incorporating key factors that contribute to overcrowding and optimizing resource utilization. By integrating factors into input, throughput, and output components, the framework offers a comprehensive understanding of the parameters that influence patient flow and ED capacity. This model helps determine when operations research (OR) techniques should be used to match supply with demand. The application of the framework is discussed in the context of managing surge demand and developing disruptive and innovative technologies to improve emergency care.","2159-5119","979-8-3503-6735-5","10.1109/ICTMOD63116.2024.10959122","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10959122","Healthcare;management;overcrowding;emergency departments;factors","Uncertainty;Technology management;Operations research;Hospitals;Throughput;Emergency services;Real-time systems;Resource management;Surges;Predictive analytics","","","","27","IEEE","11 Apr 2025","4-6 Nov. 2024","4-6 Nov. 2024","IEEE","IEEE Conferences"
"MediMitra: An AI-Powered Solution to Healthcare Accessibility Gaps in Underserved Populations","H. Saraf; L. Mankame; M. Singh Shiledar; T. Shah","STME SVKM's NMIMS, Navi Mumbai, India; STME SVKM's NMIMS, Navi Mumbai, India; STME SVKM's NMIMS, Navi Mumbai, India; STME SVKM's NMIMS, Navi Mumbai, India",2025 IEEE Pune Section International Conference (PuneCon),"17 Feb 2026","2025","","","1","6","The burden on the world's healthcare systems is growing, disproportionately impacting urban or rural, privileged or underprivileged populations by systemic flaws. These difficulties stem from human factors, including logistical, temporal, and geographic barriers to care, rather than being purely technical. The need for digital innovations that decrease hospital visits, cut costs, and offer prompt medical assistance is underscored by the growing demand for easily accessible healthcare in economically disadvantaged areas. Advancements in artificial intelligence (AI), natural language processing (NLP), and the Internet of Things (IoT) can contribute to virtual medical assistants that can handle these problems. Lack of providers, poor infrastructure, and low awareness limit access to healthcare in urban, semi-urban, and rural areas. This study presents MediMitra, a user-centric AI-based virtual doctor application that provides intuitive, multilingual, and real-time medical assistance to address these problems. MediMitra uses a chatbot framework that incorporates AI, NLP, ML, and LLMs to improve patient engagement, enable early diagnosis, and provide reliable primary medical support. The proposed solution is motivated by a survey conducted by the authors to gather patient opinions, which indicates that there is a recurring unmet need for consultations that are accessible, timely, and reasonably priced, needs that traditional healthcare systems have continuously failed to meet.","2831-5022","979-8-3315-8834-2","10.1109/PuneCon67554.2025.11378196","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11378196","Artificial Intelligence;Healthcare;Chatbot;Accessibility;Affordability;Machine Learning;Voice-to-text;text-to-voice;D-ID Avatar;NLP;Multilingual","Surveys;Technological innovation;Medical services;Machine learning;Chatbots;Real-time systems;Multilingual;Internet of Things;Reliability;Medical diagnostic imaging","","","","12","IEEE","17 Feb 2026","12-14 Dec. 2025","12-14 Dec. 2025","IEEE","IEEE Conferences"
"Research on the Design and Application of Database System Based on ER Modeling to Promote Social Services by Information Technology","C. Gao","School of Cyber Scinence and Engineering, Southeast University, Nanjing, China",2025 3rd International Conference on Business Analytics for Technology and Security (ICBATS),"3 Dec 2025","2025","","","1","5","Health care cost control and improved elderly health care are major imperative issues in today's health care system due to increasing ageing population and health care needs. This paper aims at creating a smart health management system using a DBMS which has been designed from ER modeling. The platform uses effective and efficient database systems, business intelligence, and even-likely models to better employ resources in elderly medical issues. The proposed system utilizes the ER modeling to model an efficient and normalized database schema of patient records, healthcare providers and the medical resources. Real information processing in near real-time mode and machine learning algorithms make it possible to accurately predict the required amount of resources and optimize the delivery of services. The implementation of the platform at a selected healthcare facility led to a 62.5% reduction in patient waiting time, a 60% increase in service turnover rate, and a 22% improvement in patient satisfaction with healthcare services. Additionally, predictive analytics achieved a high demand forecasting accuracy of 97%, demonstrating the system's effectiveness in resource planning. This research identifies certain implications for change in using information technology in social services, specifically with the relevance of data technology systems in addressing healthcare issues. The intelligent health management platform is a feasible, sensible, and practical solution for resource utilization and improvement of the elderly care services with great potential for reform of healthcare system. Further work will be geared towards increasing the use of the platform, the implementation of what is new in analytics, and the mitigation of the interoperability issues.","","979-8-3315-3827-9","10.1109/ICBATS66542.2025.11258252","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11258252","ER modeling;social services;information technology;database schema","Analytical models;Medical services;Predictive models;Real-time systems;Database systems;Resource management;Older adults;Information technology;Predictive analytics;Interoperability","","","","12","IEEE","3 Dec 2025","1-2 May 2025","1-2 May 2025","IEEE","IEEE Conferences"
"Reducing Vulnerability and Waiting Times in Surgical Scheduling Using Mathematical Optimization","F. Silva-Aravena; J. Morales","Facultad de Ciencias Sociales y Económicas, Universidad Católica del Maule, Talca, Chile; Facultad de Ciencias Sociales y Económicas, Universidad Católica del Maule, Talca, Chile",2025 1st International Conference on Emerging Innovation and Digital Technology (ICEIDT),"9 Apr 2026","2025","","","185","191","Efficient operating room (OR) allocation is a critical challenge in hospital management, especially in high-demand specialties such as otolaryngology (ENT). In this study, we present a mathematical optimization model that aims to minimize patient vulnerability and wait times while optimizing the use of surgical resources. We formulate the problem as a mixed integer programming model (MIP) that incorporates OR availability, medical staff capacity, and hospitalization constraints. Our model prioritizes patients with the greatest clinical urgency, identified by a prioritization metric (Pscore) provided by the medical team, ensuring the inclusion of expert judgment and timely intervention for patients with critical needs. During a 52-week period, our optimization approach obtained a 10.69% reduction in the average wait time and an 8.4% decrease in overall vulnerability of the patients. These results confirm the effectiveness of the model in prioritizing high-risk patients and improving resource allocation efficiency. This strategy is scalable and adaptable to various surgical specialties by adjusting parameters such as duration of surgery, availability of resources, hospitalization requirements, among others. In addition, integrating predictive analytics and real-time scheduling enhancements could further improve OR management efficiency and patient prioritization.","","978-1-6654-6574-8","10.1109/ICEIDT66693.2025.11473376","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11473376","Operating Room Scheduling;Mathematical Optimization;Hospital Resource Management;Mixed-Integer Programming;Healthcare Operations","Protocols;HTTP;Machine learning;Explainable AI;Artificial intelligence;Computation theory;Computational complexity;Real-time systems;Publishing;XML","","","","28","IEEE","9 Apr 2026","24-25 Nov. 2025","24-25 Nov. 2025","IEEE","IEEE Conferences"
"From Queue to Score: Enhancing Effective Organ Allocation using Machine Learning","A. Paulose P; S. Saravanan; S. Vincent; P. Raman; V. G. Murugan","Master of Business Administration (of Affiliation), Panimalar Engineering College (of Affiliation), Chennai, India; Master of Business Administration (of Affiliation), Panimalar Engineering College (of Affiliation), Chennai, India; Master of Business Administration (of Affiliation), Panimalar Engineering College (of Affiliation), Chennai, India; Master of Business Administration (of Affiliation), Panimalar Engineering College (of Affiliation), Chennai, India; Master of Business Administration (of Affiliation), Madanapalle Institute of Technology & Science (of Affiliation), Andhra Pradesh, India",2024 4th International Conference on Sustainable Expert Systems (ICSES),"3 Dec 2024","2024","","","948","950","Transplantation of organs is a drastic measure in the treatment of persons with organ dysfunction on the terminal stage of organ failure. Nonetheless, the existing organ allocation system that depends on a seniority basis on the waiting list is not efficient enough to respond to the degree of the patients' urgency since it disregards the patient's medical status resulting in poor performances, and avoidable deaths among the patients. The research paper presents a new approach to the allocation of organs that focuses on the machine learning of the patients' severity scores which are based on patients' vital signs. Research Methodology is explorative in nature Since the approach builds upon an always available dynamic database that updated with data on what it is as regards to the patient's lung and heart conditions, blood pressure, and oxygen levels. This information is then examined by applying multiple regression analysis as a form of machine learning to derive a comprehensive severity score that indicates the level of emergency in each patient's case. Concerning the key problem of patients' deaths while waiting for transplants, the proposed system intends to improve the relationship between the degree of organs' allocation and medical necessity. The use of real-time data and a sophisticated set of AI techniques increases the equity and effectiveness of the distribution process, making it possible to deliver organs to patients requiring them most. This paper also compares patient databases in other countries including India, the probabilistic use of machine learning to arrive at severity scores and the ethical parameters of the application of AI based systems.","","979-8-3315-4036-4","10.1109/ICSES63445.2024.10763041","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10763041","Organ Transplantation;Machine Learning;Severity Scoring;Patient Database;AI in Healthcare","Databases;Lungs;Machine learning;Pressing;Probabilistic logic;Real-time systems;Organ transplantation;Regression analysis;Resource management;Servers","","","","23","IEEE","3 Dec 2024","15-17 Oct. 2024","15-17 Oct. 2024","IEEE","IEEE Conferences"
"NLP Based Topic Modeling for Healthcare: Analyzing Patient Reviews to Improve Quality of Care and Access to Services","B. Bhukya; M. Sheshikala; B. Bhukya","School of Computer Science & Artificial Intelligence, SR University, Warangal, India; School of Computer Science & Artificial Intelligence, SR University, Warangal, India; Computer Science and Engineering, MLR Institute of Technology, Hyderabad, India",2023 International Conference on Emerging Techniques in Computational Intelligence (ICETCI),"5 Dec 2023","2023","","","7","12","Topic modeling is a popular unsupervised machine learning technique that can assist healthcare providers and policymakers in analyzing vast amounts of unstructured text data, such as patient reviews, to improve the quality of care and access to health care services. This research paper investigates the potential of topic modeling in health care by examining patient reviews collected from online healthcare platforms. The study employs state-of-the-art topic modeling algorithms, including Latent Dirichlet Allocation (LDA), to identify the most relevant topics related to quality of care and access to services. The results reveal that topic modeling can provide valuable insights into patient experiences and perceptions, and help pinpoint areas for improvement in health care delivery. By leveraging these insights, healthcare providers and policymakers can improve patient outcomes, optimize the patient experience, and tackle systemic issues in healthcare delivery. This research paper emphasizes the utility of topic modeling as a powerful tool for healthcare improvement, underscoring the importance of utilizing patient reviews as an essential source of valuable data in health care analytics.","","979-8-3503-0060-4","10.1109/ICETCI58599.2023.10330957","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10330957","","Analytical models;Hospitals;Computational modeling;Medical services;Pressing;Machine learning;Data models","","6","","11","IEEE","5 Dec 2023","21-23 Sept. 2023","21-23 Sept. 2023","IEEE","IEEE Conferences"
"Smart Care Scheduler : AI driven healthcare appointment system with disease prediction","J. Baikerikar; N. Ghavate; V. Kavathekar; A. Siddique; M. Arkadi; A. Singh; S. Sawant","Department of Information Technology, The Bombay Salesian Society’s Don Bosco Institute of Technology, Mumbai, India; Computer Engineering Department, Dwarkadas Jivanlal Sanghvi College of Engineering, Mumbai, India; Department of Information Technology, The Bombay Salesian Society’s Don Bosco Institute of Technology, Mumbai, India; Department of Information Technology, The Bombay Salesian Society’s Don Bosco Institute of Technology, Mumbai, India; Computer science and engineering Data science Department, Dwarkadas Jivanlal Sanghvi College of Engineering, Mumbai, India; Department of Information Technology, The Bombay Salesian Society’s Don Bosco Institute of Technology, Mumbai, India; Department of Information Technology, The Bombay Salesian Society’s Don Bosco Institute of Technology, Mumbai, India",2026 6th Biennial International Conference on Nascent Technologies in Engineering (ICNTE),"23 Mar 2026","2026","","","1","6","Today we face major challenges due to delayed diagnosis and inefficient doctor scheduling, thus contributing to critical health risks and prolonged treatment times. Our proposed Smart Care Scheduler uses artificial intelligence to predict life threatening neurological, cardiovascular, and hepatic conditions at an early stage, ensuring proactive intervention and timely medical care. By using intelligent scheduling algorithms, the system connects patients with top-rated doctors based on real-time availability, specialization, and geographical proximity in an efficient manner. Traditional hospital appointment systems many times result in long wait times, scheduling conflicts, and sometimes over or under utilization of resources, leading to patient dissatisfaction and increased operational inefficiencies. The solution proposed by us assesses patient needs and ensures that critical appointments are allocated without any delay. Our proposed system uses machine learning models trained on extensive medical data-sets to identify early indicators of severe health conditions, thereby enhancing diagnostic accuracy and reducing preventable complications. Furthermore, the Smart Care Scheduler proposed by us enhances hospital workflow by streamlining doctor schedules, optimizing appointment slots, and minimizing idle time. Its patient interface provides real-time appointment updates, automated reminders and intelligent rescheduling options, ensuring a patient centric experience. Healthcare providers also benefit from improved resource allocation, reduced administrative burden and better decision making capabilities of our system. By integrating AI-driven predictive analytics with smart appointment scheduling, our work aims to improve hospital management systems.","2836-9750","979-8-3315-7378-2","10.1109/ICNTE66387.2026.11437416","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11437416","Artificial Intelligence in healthcare;Intelligent scheduling;Real time scheduling","Schedules;Hospitals;Scheduling algorithms;Machine learning;Real-time systems;Delays;Resource management;Predictive analytics;Medical diagnostic imaging;Faces","","","","17","IEEE","23 Mar 2026","16-17 Jan. 2026","16-17 Jan. 2026","IEEE","IEEE Conferences"
"Reinforcement Learning in Healthcare: Enhancing Treatment and Resource Allocation","R. Joshi; K. Pandey; S. Kumari","Department of Journalism & Mass Communication, SMeH, Manav Rachna International Institute of Research & Studies, Haryana, India; Department of Journalism & Mass Communication, SMeH, Manav Rachna International Institute of Research & Studies, Haryana, India; School of Journalism & Mass Communication, Shri Venkateshwara University, Gajraula, Uttar Pradesh, India",2025 5th Asian Conference on Innovation in Technology (ASIANCON),"16 Dec 2025","2025","","","1","7","Reinforcement learning (RL) has become a promising strategy for optimizing patient treatment and resource allocation in changing clinical settings. RL-driven solutions for personalized treatment, hospital resource management, emergency department triage, drug dosage optimization, and adaptive staffing are explored in this research. We use datasets including MIMIC-III, eICU, NHAMCS, DCCT, AHA Annual Survey Database, and Medicare Cost Reports to create realistic healthcare scenarios and assess the effect of RL. Statistical graphs show how RL performs better than conventional approaches when it comes to information in increasing the success in treatment, shortening patient wait, reducing resource utilization, and lowering medical expenditures. These findings demonstrate RL’s ability to improve healthcare decision-making, resulting in better patient outcomes as well as more efficient use of healthcare resources, all while considering the computational and ethical challenges surrounding AI-assisted clinical decision-making.","","979-8-3503-5699-1","10.1109/ASIANCON66527.2025.11281282","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11281282","Reinforcement Learning;Intelligent Healthcare;Patient Treatment Optimization;Resource Allocation;Emergency Department Triage;Drug Dosage Optimization;AI in Healthcare;Deep Q-Networks;Proximal Policy Optimization;Hospital Staffing;Healthcare Cost;Optimization;Machine Learning","Drugs;Surveys;Technological innovation;Hospitals;Decision making;MIMICs;Reinforcement learning;Real-time systems;Resource management;Optimization","","","","17","IEEE","16 Dec 2025","22-23 Aug. 2025","22-23 Aug. 2025","IEEE","IEEE Conferences"
